Name,Popular
ABBEYROAD,0
BALDRICK,1
BARACK,1
BECK,1
BELICHICK,1
BISMARCK,0
BLACK,0
BLACKJACK,0
BOSTWICK,1
BRAD,0
BRADDOCK,0
BRECK,0
BRICK,0
BROCK,0
BRODERICK,0
BUCK,1
BURDOCK,1
BUSHWICK,1
CADDOCK,1
CASEY-PECK,1
CEDRICK,1
CHAD,0
CHICK,0
CHOCK,0
CHOPSTICK,0
CHUCK,0
CONRAD,1
CORNBREAD,1
CRACKERJACK,0
D-BLOCK,0
DEAD,1
DERRICK,1
DICK,0
DOCK,1
DOMINICK,1
DRUMSTICK,0
DUCK,0
EYCK,0
FENWICK,1
FINNICK,0
FLAPJACK,0
FREDERICK,0
FRICK,0
GARRICK,1
GATWICK,1
GINGERBREAD,0
GRIMLOCK,0
HACK,1
HENDRICK,1
HITCHCOCK,0
HUCK,0
HUMPERDINCK,0
JACK,1
JACK-JACK,1
JOCK,1
JULIE,0
KENDRICK,1
KNUCKLEHEAD,0
KONRAD,1
KUBRICK,0
LILLIPAD,0
LIMERICK,0
LINGUINI-JACK,0
LITTLEROCK,0
LUCK-LUCK,0
MACK,1
MAD,1
MAGICK,1
MAIREAD,1
MALLICK,1
MATLOCK,1
MAVERICK,1
MEATHEAD,1
MERRICK,1
MICK,0
MOTECK,1
MURDOCK,0
NAVIDAD,1
NICK,1
PATRICK,1
PAYCHECK,1
PECK,1
PEPPERJACK,1
POPCORN-MINTO-JACK,1
PRUFROCK,0
PUCK,0
PUPPYHEAD,0
RICK,0
RIDDICK,0
ROAD,1
ROCK,1
RODERICK,1
SCHODACK,0
SHACK,0
SHAMROCK,0
SHARICK,0
SHERLOCK,0
SINBAD,0
SINEAD,0
SPECK,0
SPOCK,0
SPUTNICK,0
STARBUCK,0
TAD,1
TRINIDAD,0
TRUCK,0
TUCK,0
VLAD,0
WARLOCK,1
WOODSTOCK,1
YACK,1
YZICK,0
ZACK,1
